"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"radial",0.15,0,"L",4.1092,TRUE,2014-12-03,7,0.15,1,8
1,2,"radial",0.1,0,"R",3.8613,FALSE,2014-12-03,7,0.1,1,8
1,3,"radial",0,0.15,"L",3.3529,FALSE,2014-12-03,7,0.15,1,8
1,4,"radial",0,0.2,"R",3.0859,TRUE,2014-12-03,7,0.2,1,8
1,5,"radial",0.05,0,"L",1.6351,TRUE,2014-12-03,7,0.05,1,8
1,6,"linear",0.2,0,"R",1.4009,FALSE,2014-12-03,7,0.2,1,8
1,7,"linear",0,0.1,"R",2.3352,TRUE,2014-12-03,7,0.1,1,8
1,8,"linear",0.15,0,"R",2.2187,FALSE,2014-12-03,7,0.15,1,8
1,9,"radial",0,0.1,"L",3.1025,FALSE,2014-12-03,7,0.1,1,8
1,10,"linear",0.05,0,"R",4.1036,FALSE,2014-12-03,7,0.05,1,8
1,11,"radial",0,0.05,"L",3.0932,FALSE,2014-12-03,7,0.05,1,8
1,12,"radial",0.2,0,"R",3.8032,FALSE,2014-12-03,7,0.2,1,8
1,13,"linear",0,0.15,"L",4.2955,FALSE,2014-12-03,7,0.15,1,8
1,14,"linear",0,0.2,"L",5.4048,FALSE,2014-12-03,7,0.2,1,8
1,15,"linear",0.1,0,"R",4.3202,FALSE,2014-12-03,7,0.1,1,8
1,16,"linear",0,0.05,"L",3.2713,FALSE,2014-12-03,7,0.05,1,8
2,1,"linear",0.2,0,"R",3.4026,FALSE,2014-12-03,7,0.2,1,8
2,2,"radial",0.15,0,"L",4.1036,TRUE,2014-12-03,7,0.15,1,8
2,3,"linear",0,0.1,"R",2.4525,TRUE,2014-12-03,7,0.1,1,8
2,4,"radial",0.1,0,"R",3.8368,FALSE,2014-12-03,7,0.1,1,8
2,5,"radial",0,0.15,"R",2.3856,TRUE,2014-12-03,7,0.15,1,8
2,6,"linear",0.15,0,"R",4.8541,FALSE,2014-12-03,7,0.15,1,8
2,7,"radial",0,0.2,"L",4.1915,FALSE,2014-12-03,7,0.2,1,8
2,8,"radial",0.05,0,"R",6.356,FALSE,2014-12-03,7,0.05,1,8
2,9,"radial",0,0.1,"L",6.9636,FALSE,2014-12-03,7,0.1,1,8
2,10,"linear",0.05,0,"R",6.3055,FALSE,2014-12-03,7,0.05,1,8
2,11,"radial",0,0.05,"L",4.9542,FALSE,2014-12-03,7,0.05,1,8
2,12,"linear",0,0.15,"R",4.4372,TRUE,2014-12-03,7,0.15,1,8
2,13,"linear",0,0.2,"R",4.9713,TRUE,2014-12-03,7,0.2,1,8
2,14,"linear",0.1,0,"R",3.3195,FALSE,2014-12-03,7,0.1,1,8
2,15,"radial",0.2,0,"L",4.5374,TRUE,2014-12-03,7,0.2,1,8
2,16,"linear",0,0.05,"R",5.7882,TRUE,2014-12-03,7,0.05,1,8
3,1,"radial",0.15,0,"L",1.6041,TRUE,2014-12-03,7,0.15,1,8
3,2,"radial",0.1,0,"R",3.2196,FALSE,2014-12-03,7,0.1,1,8
3,3,"radial",0,0.15,"R",4.4575,TRUE,2014-12-03,7,0.15,1,8
3,4,"radial",0,0.2,"R",1.8254,TRUE,2014-12-03,7,0.2,1,8
3,5,"radial",0.05,0,"L",5.1376,TRUE,2014-12-03,7,0.05,1,8
3,6,"radial",0,0.1,"R",2.6687,TRUE,2014-12-03,7,0.1,1,8
3,7,"radial",0,0.05,"R",4.3871,TRUE,2014-12-03,7,0.05,1,8
3,8,"linear",0.2,0,"L",1.8707,TRUE,2014-12-03,7,0.2,1,8
3,9,"linear",0,0.1,"R",6.2218,TRUE,2014-12-03,7,0.1,1,8
3,10,"radial",0.2,0,"L",1.318,TRUE,2014-12-03,7,0.2,1,8
3,11,"linear",0.15,0,"R",1.5347,FALSE,2014-12-03,7,0.15,1,8
3,12,"linear",0.05,0,"L",5.5214,TRUE,2014-12-03,7,0.05,1,8
3,13,"linear",0,0.15,"L",3.5527,FALSE,2014-12-03,7,0.15,1,8
3,14,"linear",0,0.2,"L",5.1549,FALSE,2014-12-03,7,0.2,1,8
3,15,"linear",0.1,0,"R",6.3909,FALSE,2014-12-03,7,0.1,1,8
3,16,"linear",0,0.05,"L",6.2959,FALSE,2014-12-03,7,0.05,1,8
4,1,"radial",0.15,0,"L",5.8552,TRUE,2014-12-03,7,0.15,1,8
4,2,"linear",0.2,0,"L",3.4031,TRUE,2014-12-03,7,0.2,1,8
4,3,"radial",0.1,0,"R",4.7889,FALSE,2014-12-03,7,0.1,1,8
4,4,"radial",0,0.15,"R",1.8694,TRUE,2014-12-03,7,0.15,1,8
4,5,"linear",0,0.1,"L",4.3702,FALSE,2014-12-03,7,0.1,1,8
4,6,"radial",0,0.2,"R",1.5514,TRUE,2014-12-03,7,0.2,1,8
4,7,"radial",0.05,0,"L",5.1042,TRUE,2014-12-03,7,0.05,1,8
4,8,"linear",0.15,0,"L",2.6088,TRUE,2014-12-03,7,0.15,1,8
4,9,"radial",0,0.1,"R",3.787,TRUE,2014-12-03,7,0.1,1,8
4,10,"radial",0,0.05,"R",4.0384,TRUE,2014-12-03,7,0.05,1,8
4,11,"radial",0.2,0,"L",2.475,TRUE,2014-12-03,7,0.2,1,8
4,12,"linear",0.05,0,"R",4.8211,FALSE,2014-12-03,7,0.05,1,8
4,13,"linear",0,0.15,"R",3.1695,TRUE,2014-12-03,7,0.15,1,8
4,14,"linear",0,0.2,"R",5.2047,TRUE,2014-12-03,7,0.2,1,8
4,15,"linear",0.1,0,"L",4.3812,TRUE,2014-12-03,7,0.1,1,8
4,16,"linear",0,0.05,"R",5.5713,TRUE,2014-12-03,7,0.05,1,8
5,1,"linear",0.2,0,"L",1.7015,TRUE,2014-12-03,7,0.2,1,8
5,2,"radial",0.15,0,"L",3.2029,TRUE,2014-12-03,7,0.15,1,8
5,3,"linear",0,0.1,"R",4.0035,TRUE,2014-12-03,7,0.1,1,8
5,4,"radial",0.1,0,"R",3.6363,FALSE,2014-12-03,7,0.1,1,8
5,5,"linear",0.15,0,"L",3.1029,TRUE,2014-12-03,7,0.15,1,8
5,6,"radial",0,0.15,"R",2.7191,TRUE,2014-12-03,7,0.15,1,8
5,7,"radial",0,0.2,"R",2.2698,TRUE,2014-12-03,7,0.2,1,8
5,8,"radial",0.05,0,"R",4.7875,FALSE,2014-12-03,7,0.05,1,8
5,9,"linear",0.05,0,"R",6.739,FALSE,2014-12-03,7,0.05,1,8
5,10,"linear",0,0.15,"R",1.4681,TRUE,2014-12-03,7,0.15,1,8
5,11,"linear",0,0.2,"R",1.7349,TRUE,2014-12-03,7,0.2,1,8
5,12,"radial",0,0.1,"R",2.7692,TRUE,2014-12-03,7,0.1,1,8
5,13,"radial",0,0.05,"R",6.7391,TRUE,2014-12-03,7,0.05,1,8
5,14,"linear",0.1,0,"L",4.6369,TRUE,2014-12-03,7,0.1,1,8
5,15,"radial",0.2,0,"L",1.5681,TRUE,2014-12-03,7,0.2,1,8
5,16,"linear",0,0.05,"R",3.8714,TRUE,2014-12-03,7,0.05,1,8
