"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"linear",0.1,0,"L",7.3064,"TRUE",2014-12-03,7,0.1,2,2
1,2,"linear",0.2,0,"L",1.0758,"TRUE",2014-12-03,7,0.2,2,2
1,3,"radial",0.2,0,"L",2.4853,"TRUE",2014-12-03,7,0.2,2,2
1,4,"linear",0.05,0,"L",2.1066,"TRUE",2014-12-03,7,0.05,2,2
1,5,"linear",0,0.2,"R",1.5519,"TRUE",2014-12-03,7,0.2,2,2
1,6,"radial",0,0.05,"L",9.3415,"FALSE",2014-12-03,7,0.05,2,2
1,7,"radial",0,0.2,"R",2.2521,"TRUE",2014-12-03,7,0.2,2,2
1,8,"linear",0,0.15,"R",2.1863,"TRUE",2014-12-03,7,0.15,2,2
1,9,"radial",0,0.15,"R",1.2512,"TRUE",2014-12-03,7,0.15,2,2
1,10,"linear",0,0.1,"R",3.4242,"TRUE",2014-12-03,7,0.1,2,2
1,11,"radial",0.05,0,"R",3.7699,"FALSE",2014-12-03,7,0.05,2,2
1,12,"linear",0,0.05,"R",3.3696,"TRUE",2014-12-03,7,0.05,2,2
1,13,"radial",0.15,0,"L",2.6732,"TRUE",2014-12-03,7,0.15,2,2
1,14,"linear",0.15,0,"L",1.2013,"TRUE",2014-12-03,7,0.15,2,2
1,15,"radial",0,0.1,"R",3.5696,"TRUE",2014-12-03,7,0.1,2,2
1,16,"radial",0.1,0,"R",2.619,"FALSE",2014-12-03,7,0.1,2,2
2,1,"radial",0.2,0,"L",4.3702,"TRUE",2014-12-03,7,0.2,2,2
2,2,"linear",0.1,0,"L",5.1379,"TRUE",2014-12-03,7,0.1,2,2
2,3,"linear",0.2,0,"L",0.95619,"TRUE",2014-12-03,7,0.2,2,2
2,4,"linear",0.05,0,"L",3.2695,"TRUE",2014-12-03,7,0.05,2,2
2,5,"linear",0,0.2,"R",1.0729,"TRUE",2014-12-03,7,0.2,2,2
2,6,"radial",0,0.05,"R",3.0529,"TRUE",2014-12-03,7,0.05,2,2
2,7,"radial",0,0.2,"R",1.0181,"TRUE",2014-12-03,7,0.2,2,2
2,8,"linear",0,0.15,"R",1.1715,"TRUE",2014-12-03,7,0.15,2,2
2,9,"linear",0,0.1,"R",1.0845,"TRUE",2014-12-03,7,0.1,2,2
2,10,"radial",0,0.15,"R",0.80067,"TRUE",2014-12-03,7,0.15,2,2
2,11,"radial",0.05,0,"R",2.7857,"FALSE",2014-12-03,7,0.05,2,2
2,12,"radial",0.15,0,"L",3.9151,"TRUE",2014-12-03,7,0.15,2,2
2,13,"linear",0,0.05,"L",4.0701,"FALSE",2014-12-03,7,0.05,2,2
2,14,"radial",0,0.1,"R",3.7634,"TRUE",2014-12-03,7,0.1,2,2
2,15,"radial",0.1,0,"R",3.6533,"FALSE",2014-12-03,7,0.1,2,2
2,16,"linear",0.15,0,"L",2.6528,"TRUE",2014-12-03,7,0.15,2,2
3,1,"radial",0.2,0,"L",1.9352,"TRUE",2014-12-03,7,0.2,2,2
3,2,"radial",0,0.05,"L",6.1719,"FALSE",2014-12-03,7,0.05,2,2
3,3,"radial",0,0.2,"R",0.85089,"TRUE",2014-12-03,7,0.2,2,2
3,4,"radial",0,0.15,"R",1.8184,"TRUE",2014-12-03,7,0.15,2,2
3,5,"linear",0.1,0,"L",7.0227,"TRUE",2014-12-03,7,0.1,2,2
3,6,"linear",0.2,0,"L",0.93427,"TRUE",2014-12-03,7,0.2,2,2
3,7,"linear",0.05,0,"L",4.4534,"TRUE",2014-12-03,7,0.05,2,2
3,8,"linear",0,0.2,"R",1.8872,"TRUE",2014-12-03,7,0.2,2,2
3,9,"linear",0,0.15,"R",1.4849,"TRUE",2014-12-03,7,0.15,2,2
3,10,"radial",0.05,0,"R",3.4029,"FALSE",2014-12-03,7,0.05,2,2
3,11,"radial",0.15,0,"R",3.3195,"FALSE",2014-12-03,7,0.15,2,2
3,12,"radial",0,0.1,"R",2.9523,"TRUE",2014-12-03,7,0.1,2,2
3,13,"radial",0.1,0," ",0,"0",2014-12-03,7,0.1,2,2
3,14,"linear",0,0.1,"R",1.186,"TRUE",2014-12-03,7,0.1,2,2
3,15,"linear",0,0.05,"R",2.4519,"TRUE",2014-12-03,7,0.05,2,2
3,16,"linear",0.15,0,"L",0.91777,"TRUE",2014-12-03,7,0.15,2,2
4,1,"linear",0.1,0,"L",0.93434,"TRUE",2014-12-03,7,0.1,2,2
4,2,"radial",0.2,0,"L",1.2883,"TRUE",2014-12-03,7,0.2,2,2
4,3,"radial",0,0.05,"R",2.1017,"TRUE",2014-12-03,7,0.05,2,2
4,4,"linear",0.2,0,"L",2.5357,"TRUE",2014-12-03,7,0.2,2,2
4,5,"linear",0.05,0,"L",2.2853,"TRUE",2014-12-03,7,0.05,2,2
4,6,"radial",0,0.2,"R",1.0511,"TRUE",2014-12-03,7,0.2,2,2
4,7,"radial",0,0.15,"R",1.1572,"TRUE",2014-12-03,7,0.15,2,2
4,8,"linear",0,0.2,"R",0.80225,"TRUE",2014-12-03,7,0.2,2,2
4,9,"linear",0,0.15,"R",0.85093,"TRUE",2014-12-03,7,0.15,2,2
4,10,"linear",0,0.1,"R",0.9175,"TRUE",2014-12-03,7,0.1,2,2
4,11,"radial",0.05,0,"R",1.6016,"FALSE",2014-12-03,7,0.05,2,2
