Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,radial,0.15,0,L,5.0206,TRUE
1,2,radial,0.1,0,L,7.4062,TRUE
1,3,radial,0,0.15, ,0,0
1,4,radial,0,0.2,R,2.229,TRUE
1,5,radial,0.05,0,R,3.8032,FALSE
1,6,linear,0.2,0,R,3.9405,FALSE
1,7,linear,0,0.1,L,1.8684,FALSE
1,8,linear,0.15,0,R,4.037,FALSE
1,9,radial,0,0.1,R,7.4434,TRUE
1,10,linear,0.05,0,R,7.7899,FALSE
1,11,radial,0,0.05, ,0,0
1,12,radial,0.2,0,L,1.1176,TRUE
1,13,linear,0,0.15,R,1.368,TRUE
1,14,linear,0,0.2,R,3.453,TRUE
1,15,linear,0.1,0,R,2.6357,FALSE
1,16,linear,0,0.05,R,5.1213,TRUE
2,1,linear,0.2,0,R,4.1037,FALSE
2,2,radial,0.15,0,R,6.1219,FALSE
2,3,linear,0,0.1,R,1.0579,TRUE
2,4,radial,0.1,0,L,2.1384,TRUE
2,5,radial,0,0.15,R,2.3854,TRUE
2,6,linear,0.15,0,R,5.7885,FALSE
2,7,radial,0,0.2,R,4.07,TRUE
2,8,radial,0.05,0,R,8.102,FALSE
2,9,radial,0,0.1,R,1.0176,TRUE
2,10,linear,0.05,0,R,3.9036,FALSE
2,11,radial,0,0.05,L,2.636,FALSE
2,12,linear,0,0.15,R,5.4715,TRUE
2,13,linear,0,0.2,R,4.387,TRUE
2,14,linear,0.1,0,R,3.2528,FALSE
2,15,radial,0.2,0,L,2.4189,TRUE
2,16,linear,0,0.05,R,6.9064,TRUE
3,1,radial,0.15,0,L,2.5354,TRUE
3,2,radial,0.1,0,L,5.2041,TRUE
3,3,radial,0,0.15,R,2.8686,TRUE
3,4,radial,0,0.2,R,1.6012,TRUE
3,5,radial,0.05,0,R,5.2552,FALSE
3,6,radial,0,0.1,R,4.3877,TRUE
3,7,radial,0,0.05,R,4.6923,TRUE
3,8,linear,0.2,0,L,1.7015,TRUE
3,9,linear,0,0.1,R,4.8374,TRUE
3,10,radial,0.2,0,L,3.9053,TRUE
3,11,linear,0.15,0,L,4.0369,TRUE
3,12,linear,0.05,0,L,5.2543,TRUE
3,13,linear,0,0.15,R,1.318,TRUE
3,14,linear,0,0.2,R,1.8851,TRUE
3,15,linear,0.1,0,L,4.8709,TRUE
3,16,linear,0,0.05,R,2.3854,TRUE
4,1,radial,0.15,0,L,3.3029,TRUE
4,2,linear,0.2,0,L,1.5682,TRUE
4,3,radial,0.1,0,R,1.418,FALSE
4,4,radial,0,0.15,R,9.1412,TRUE
4,5,linear,0,0.1,R,6.4821,TRUE
4,6,radial,0,0.2,R,1.053,TRUE
4,7,radial,0.05,0,R,7.0895,FALSE
4,8,linear,0.15,0,L,1.4016,TRUE
4,9,radial,0,0.1,R,2.4525,TRUE
4,10,radial,0,0.05,L,3.7202,FALSE
4,11,radial,0.2,0,L,2.3355,TRUE
4,12,linear,0.05,0,R,3.4531,FALSE
4,13,linear,0,0.15, ,0,0
4,14,linear,0,0.2,R,1.2678,TRUE
4,15,linear,0.1,0,L,4.721,TRUE
4,16,linear,0,0.05,L,9.9798,FALSE
5,1,linear,0.2,0,L,3.4362,TRUE
5,2,radial,0.15,0,L,2.0518,TRUE
5,3,linear,0,0.1,R,9.3749,TRUE
5,4,radial,0.1,0,L,9.4748,TRUE
5,5,linear,0.15,0,L,2.1186,TRUE
5,6,radial,0,0.15,R,5.7046,TRUE
5,7,radial,0,0.2,R,5.9079,TRUE
5,8,radial,0.05,0,R,3.8199,FALSE
5,9,linear,0.05,0,R,5.3737,FALSE
5,10,linear,0,0.15,R,2.0018,TRUE
5,11,linear,0,0.2,R,6.7391,TRUE
5,12,radial,0,0.1,R,5.9383,TRUE
5,13,radial,0,0.05,R,7.0629,TRUE
5,14,linear,0.1,0, ,0,0
5,15,radial,0.2,0,L,2.7525,TRUE
5,16,linear,0,0.05,L,3.0028,FALSE
