session-date,participant-ID,participant-birthdate,participant-day age,participant-gender,race,condition-name,group-name
6/17/16,1043,1/21/09,2704,Male,unknown.no.rpt,linear-radial coh [.15 .3 .45 .6],8228
3/30/16,1055,1/22/10,2259,Female,unknown.no.rpt,linear-radial coh [.2 .4 .6 .8],8282
4/29/16,1058,10/13/10,2025,Male,more.than.one,linear-radial coh [.2 .4 .6 .8],8822
4/2/16,1059,9/28/10,2013,Female,white,linear-radial coh [.2 .4 .6 .8],8228
4/2/16,1060,4/14/09,2545,Female,white,linear-radial coh [.2 .4 .6 .8],8228
6/2/16,1062,1/16/08,3060,Male,white,linear-radial coh [.15 .3 .45 .6],8282
5/9/16,1063,12/22/09,2330,Male,white,linear-radial coh [.2 .4 .6 .8],2828
6/29/16,1065,2/16/11,1960,Female,white,linear-radial coh [.15 .3 .45 .6],2882
6/2/16,1066,1/16/08,3060,Male,white,linear-radial coh [.15 .3 .45 .6],8822
5/24/16,1067,8/26/10,2098,Male,white,linear-radial coh [.15 .3 .45 .6],2828
6/29/16,1073,5/4/09,2613,Male,white,linear-radial coh [.15 .3 .45 .6],2288
7/18/16,1074,3/3/11,1964,Female,white,linear-radial coh [.15 .3 .45 .6],2828
7/18/16,1075,4/6/10,2295,Female,white,linear-radial coh [.15 .3 .45 .6],8282
7/18/16,1076,12/29/08,2758,Female,white,linear-radial coh [.15 .3 .45 .6],2882
7/21/16,1077,5/1/11,1908,Female,white,linear-radial coh [.15 .3 .45 .6],2882
7/21/16,1078,9/17/08,2864,Female,more.than.one,linear-radial coh [.15 .3 .45 .6],2288
7/28/16,1079,12/28/07,3135,Female,white,linear-radial coh [.15 .3 .45 .6],2288
7/28/16,1080,1/7/10,2394,Female,white,linear-radial coh [.15 .3 .45 .6],8822
7/18/16,1081,5/4/10,2267,Male,white,linear-radial coh [.15 .3 .45 .6],2288
7/20/16,1082,12/15/08,2774,Female,white,linear-radial coh [.15 .3 .45 .6],8822
7/21/16,1083,8/9/08,2903,Male,white,linear-radial coh [.15 .3 .45 .6],2828
7/21/16,1084,12/5/09,2420,Female,white,linear-radial coh [.15 .3 .45 .6],2882
7/21/16,1085,12/5/09,2420,Female,white,linear-radial coh [.15 .3 .45 .6],8282
8/9/16,1086,1/2/09,2776,Male,white,linear-radial coh [.15 .3 .45 .6],8228
7/27/16,1087,12/18/08,2778,Female,more.than.one,linear-radial coh [.15 .3 .45 .6],8282
7/27/16,1088,11/2/10,2094,Female,asian,linear-radial coh [.15 .3 .45 .6],2288
8/11/16,1089,6/15/09,2614,Female,more.than.one,linear-radial coh [.15 .3 .45 .6],8822
8/9/16,1090,10/7/10,2133,Female,white,linear-radial coh [.15 .3 .45 .6],2882
8/9/16,1091,5/6/11,1922,Female,more.than.one,linear-radial coh [.15 .3 .45 .6],8228
9/22/16,1094,8/3/09,2607,Male,white,linear-radial coh [.15 .3 .45 .6],2882
